,root_id,upstream_bitter_GRNs,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
0,720575940605158572,4,39,1,GABA,left,687.0,487.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,5.676855895196507,9.75,local,0
1,720575940608601355,3,17,1,ACH,right,739.0,653.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,2.3004059539918806,5.666666666666667,projection,469
2,720575940610609454,1,7,1,ACH,right,202.0,506.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,3.4653465346534658,7.0,projection,306
3,720575940610690372,6,39,1,GLUT,left,2294.0,1575.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,1.7000871839581517,6.5,local,0
4,720575940610956334,2,11,1,GABA,left,643.0,1726.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,1.7107309486780715,5.5,projection,1403
5,720575940611149922,2,15,1,GLUT,left,2884.0,1079.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,0.5201109570041609,7.5,local,0
6,720575940613942703,2,19,1,ACH,right,1489.0,1137.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2760241773002015,9.5,local,0
7,720575940614099142,1,5,1,ACH,right,298.0,1004.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,activated,1.6778523489932886,5.0,projection,833
8,720575940614139089,5,34,1,ACH,left,274.0,915.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,12.408759124087592,6.8,projection,698
9,720575940614418794,1,6,1,SER,left,521.0,258.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,1.1516314779270633,6.0,local,0
10,720575940614635175,18,381,1,GABA,right,4972.0,2947.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,7.662912308930007,21.166666666666668,projection,5
11,720575940615292895,5,46,1,ACH,left,1604.0,1018.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,2.8678304239401498,9.2,local,0
12,720575940615495839,1,6,1,GABA,left,722.0,660.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,0.8310249307479225,6.0,local,0
13,720575940617335382,2,19,1,ACH,left,536.0,545.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.544776119402985,9.5,projection,533
14,720575940619247424,2,12,1,ACH,left,374.0,97.0,non activated,bitter,non activated,non activated,non activated,non activated,activated,activated,activated,3.2085561497326207,6.0,local,0
15,720575940619659861,1,5,1,SER,right,38.0,5.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.157894736842104,5.0,local,0
16,720575940620062288,8,95,1,GLUT,right,3556.0,2487.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,2.671541057367829,11.875,local,0
17,720575940620262465,1,6,1,GLUT,right,2057.0,1241.0,non activated,bitter,non activated,non activated,non activated,non activated,activated,activated,activated,0.2916869227029655,6.0,local,0
18,720575940620441024,1,6,1,GABA,right,470.0,1219.0,non activated,bitter,non activated,non activated,non activated,non activated,activated,activated,activated,1.276595744680851,6.0,projection,923
19,720575940620553094,16,375,1,GABA,left,4534.0,3018.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,8.27084252315836,23.4375,local,0
20,720575940621089741,3,17,1,ACH,left,229.0,119.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,7.423580786026202,5.666666666666667,projection,57
21,720575940621442124,4,20,1,GLUT,right,866.0,1048.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,2.3094688221709005,5.0,projection,184
22,720575940621902085,1,9,1,GABA,right,279.0,265.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,3.225806451612903,9.0,local,0
23,720575940622154266,1,5,1,GLUT,left,406.0,1108.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,1.2315270935960592,5.0,local,0
24,720575940622537477,4,31,1,GABA,left,1624.0,483.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,1.9088669950738917,7.75,local,0
25,720575940622541005,2,12,1,GABA,left,487.0,1134.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,2.4640657084188913,6.0,projection,856
26,720575940622688765,1,5,1,ACH,right,270.0,204.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8518518518518516,5.0,local,0
27,720575940623154712,5,31,1,GABA,right,1297.0,2285.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,2.3901310717039324,6.2,local,0
28,720575940623208141,5,34,1,GABA,right,917.0,1215.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,3.707742639040349,6.8,local,0
29,720575940623381286,8,97,1,GLUT,left,1081.0,1016.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,8.973172987974099,12.125,local,0
30,720575940623986364,2,11,1,ACH,left,150.0,296.0,non activated,bitter,non activated,non activated,non activated,non activated,activated,activated,activated,7.333333333333333,5.5,projection,141
31,720575940624253991,4,45,1,ACH,left,380.0,218.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,11.842105263157894,11.25,local,0
32,720575940624273149,5,46,1,ACH,left,316.0,224.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,14.556962025316455,9.2,local,0
33,720575940624600840,11,231,1,GLUT,left,3752.0,2450.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,6.156716417910448,21.0,local,0
34,720575940625339981,1,11,1,GABA,right,566.0,507.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,1.9434628975265018,11.0,local,0
35,720575940625728551,8,101,1,GABA,left,1457.0,2524.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,6.9320521619766655,12.625,local,0
36,720575940625750105,1,6,1,SER,right,72.0,263.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,8.333333333333332,6.0,local,0
37,720575940625867056,1,7,1,DA,left,1693.0,581.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.4134672179562906,7.0,local,0
38,720575940626127432,1,5,1,ACH,left,135.0,105.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.7037037037037033,5.0,local,0
39,720575940626390018,1,8,1,ACH,left,141.0,221.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,5.673758865248227,8.0,projection,90
40,720575940627709956,6,42,1,GLUT,left,1051.0,866.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,3.9961941008563278,7.0,projection,94
41,720575940627815080,5,33,1,ACH,right,875.0,571.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.7714285714285714,6.6,projection,542
