,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
0,720575940603266592,2,41,1,SER,right,82.0,238.0,0,2,0,41,-41,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,50.0,20.5,local,0
1,720575940604459697,1,13,1,GABA,left,250.0,468.0,1,0,13,0,13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.2,13.0,local,0
2,720575940604852146,1,13,1,ACH,left,44.0,61.0,0,1,0,13,-13,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,29.545454545454547,13.0,local,0
3,720575940604891360,1,25,1,,left,964.0,676.0,0,1,0,25,-25,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5933609958506225,25.0,local,0
4,720575940606343945,1,17,1,ACH,right,33.0,541.0,0,1,0,17,-17,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,51.515151515151516,17.0,local,0
5,720575940606388146,1,16,1,GLUT,left,1331.0,3330.0,0,1,0,16,-16,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2021036814425246,16.0,local,0
6,720575940607162754,1,50,1,GABA,right,3356.0,3016.0,0,1,0,50,-50,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4898688915375446,50.0,local,0
7,720575940607170178,1,58,1,,right,941.0,1193.0,0,1,0,58,-58,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.163655685441021,58.0,local,0
8,720575940607272649,1,36,1,ACH,right,3643.0,3699.0,0,1,0,36,-36,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9881965413121054,36.0,local,0
9,720575940607362482,1,11,1,ACH,right,1072.0,922.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0261194029850746,11.0,local,0
