,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
0,720575940603266592,2,41,1,SER,right,82.0,238.0,0,2,0,41,-41,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,50.0,20.5
1,720575940604459697,1,13,1,GABA,left,250.0,468.0,1,0,13,0,13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.2,13.0
2,720575940604516524,1,44,1,ACH,left,2008.0,1471.0,1,0,44,0,44,non activated,low salt,non activated,non activated,non activated,non activated,activated,activated,activated,2.1912350597609564,44.0
3,720575940604921446,1,13,1,ACH,right,455.0,728.0,1,0,13,0,13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.857142857142857,13.0
4,720575940604934502,1,26,1,,left,243.0,0.0,1,0,26,0,26,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.699588477366255,26.0
5,720575940606343945,1,17,1,ACH,right,33.0,541.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,51.515151515151516,17.0
6,720575940606736988,1,30,1,ACH,left,204.0,498.0,1,0,30,0,30,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.705882352941178,30.0
7,720575940607386290,1,14,1,ACH,left,917.0,849.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5267175572519083,14.0
8,720575940607451081,1,39,1,GABA,left,1849.0,474.0,0,1,0,39,-39,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,2.1092482422931313,39.0
9,720575940607731292,1,10,1,GLUT,left,315.0,97.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.1746031746031744,10.0
10,720575940608616899,1,23,1,GLUT,left,207.0,130.0,1,0,23,0,23,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,11.11111111111111,23.0
11,720575940608713993,1,13,1,ACH,left,541.0,319.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.4029574861367835,13.0
12,720575940608787413,2,35,1,ACH,left,58.0,645.0,0,2,0,35,-35,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,60.3448275862069,17.5
13,720575940609993284,1,25,1,ACH,left,1547.0,634.0,0,1,0,25,-25,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.616031027795734,25.0
14,720575940610485294,1,21,1,GABA,left,5731.0,3562.0,1,0,21,0,21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,0.3664281975222474,21.0
15,720575940610524339,1,10,1,GABA,left,275.0,720.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6363636363636362,10.0
16,720575940610690372,1,14,1,GLUT,left,2294.0,1575.0,1,0,14,0,14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,0.6102877070619006,14.0
17,720575940610773090,2,36,1,SER,right,77.0,83.0,0,2,0,36,-36,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,46.75324675324675,18.0
18,720575940610916465,1,18,1,GABA,right,2005.0,844.0,1,0,18,0,18,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8977556109725686,18.0
19,720575940611298522,1,10,1,ACH,left,153.0,123.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.535947712418301,10.0
20,720575940611366058,2,87,1,ACH,left,647.0,1321.0,0,2,0,87,-87,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.446676970633694,43.5
21,720575940611659378,1,11,1,ACH,left,515.0,232.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.1359223300970873,11.0
22,720575940611755157,1,86,1,ACH,left,4729.0,1822.0,1,0,86,0,86,non activated,low salt,non activated,non activated,activated,activated,activated,activated,activated,1.8185662930852189,86.0
23,720575940611799445,1,12,1,ACH,left,655.0,581.0,1,0,12,0,12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8320610687022902,12.0
24,720575940611849178,2,87,1,ACH,right,112.0,333.0,0,2,0,87,-87,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,77.67857142857143,43.5
25,720575940611988197,1,15,1,ACH,left,804.0,1185.0,0,1,0,15,-15,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8656716417910446,15.0
26,720575940612064113,1,16,1,GABA,left,249.0,324.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.425702811244979,16.0
27,720575940612336819,2,71,1,ACH,left,3511.0,3379.0,0,2,0,71,-71,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0222158929080036,35.5
28,720575940612479205,1,13,1,GABA,left,842.0,1103.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5439429928741093,13.0
29,720575940612692633,2,47,1,ACH,left,2734.0,1342.0,0,2,0,47,-47,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7190929041697147,23.5
30,720575940613222195,1,10,1,GABA,left,259.0,633.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.861003861003861,10.0
31,720575940613426343,1,14,1,ACH,left,383.0,217.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6553524804177546,14.0
32,720575940613527789,2,24,1,ACH,right,171.0,108.0,0,2,0,24,-24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.035087719298245,12.0
33,720575940613670893,1,38,1,GABA,left,569.0,721.0,0,1,0,38,-38,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.6783831282952555,38.0
34,720575940613942703,3,46,1,ACH,right,1489.0,1137.0,0,3,0,46,-46,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.089321692411014,15.333333333333334
35,720575940614233775,1,13,1,,right,1102.0,0.0,1,0,13,0,13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.17967332123412,13.0
36,720575940614714514,1,29,1,ACH,left,1173.0,819.0,0,1,0,29,-29,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.47229326513214,29.0
37,720575940614736290,1,73,1,GLUT,left,1959.0,1719.0,1,0,73,0,73,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.7263910158244005,73.0
38,720575940614965691,1,61,1,,left,589.0,501.0,1,0,61,0,61,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.35653650254669,61.0
39,720575940615023722,1,11,1,GLUT,left,156.0,58.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.051282051282051,11.0
40,720575940615257567,1,12,1,GLUT,right,446.0,174.0,1,0,12,0,12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.690582959641256,12.0
41,720575940615292895,2,46,1,ACH,left,1604.0,1018.0,0,2,0,46,-46,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.8678304239401498,23.0
42,720575940615376863,1,49,1,GLUT,left,361.0,2873.0,0,1,0,49,-49,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.573407202216067,49.0
43,720575940615641798,2,31,1,SER,right,37.0,38.0,0,2,0,31,-31,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,83.78378378378379,15.5
44,720575940615671106,1,16,1,ACH,left,5536.0,1260.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.2890173410404624,16.0
45,720575940615770811,1,11,1,GABA,right,220.0,174.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,5.0,11.0
46,720575940616014092,1,10,1,ACH,left,3885.0,1970.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.2574002574002574,10.0
47,720575940616217403,1,19,1,GLUT,right,1616.0,886.0,1,0,19,0,19,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1757425742574257,19.0
48,720575940616219222,1,14,1,GLUT,left,350.0,89.0,1,0,14,0,14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.0,14.0
49,720575940616497477,1,13,1,ACH,right,407.0,213.0,0,1,0,13,-13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.194103194103194,13.0
50,720575940616921152,1,32,1,ACH,left,3431.0,1781.0,1,0,32,0,32,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9326726901777908,32.0
51,720575940617239197,2,29,1,SER,right,43.0,26.0,0,2,0,29,-29,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,67.44186046511628,14.5
52,720575940617335382,1,11,1,ACH,left,536.0,545.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0522388059701493,11.0
53,720575940617393625,1,23,1,ACH,left,1168.0,1086.0,0,1,0,23,-23,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9691780821917808,23.0
