,root_id,upstream_sugar_GRNs,sugar_syn_count,const,nt_type,side,input_synapses,output_synapses,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_sugar_input,avg_upstream_synapses,neuron_type,#_projection_synapses
0,720575940606866377,9,87,1,GABA,right,1483.0,1642.0,activated,sugar,activated,activated,activated,activated,activated,activated,activated,5.866486850977748,9.666666666666666,local,0
1,720575940610584945,1,11,1,ACH,right,764.0,957.0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4397905759162304,11.0,local,0
2,720575940610916465,3,32,1,GABA,right,2005.0,844.0,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,1.596009975062344,10.666666666666666,local,0
3,720575940611015122,11,118,1,ACH,right,918.0,267.0,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,12.854030501089325,10.727272727272727,local,0
4,720575940611149922,1,5,1,GLUT,left,2884.0,1079.0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.17337031900138697,5.0,local,0
5,720575940612064113,8,65,1,GABA,left,249.0,324.0,activated,sugar,activated,activated,activated,activated,activated,activated,activated,26.104417670682732,8.125,local,0
6,720575940612479205,1,8,1,GABA,left,842.0,1103.0,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,0.9501187648456058,8.0,projection,5
7,720575940612611301,1,5,1,ACH,left,1222.0,1307.0,activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.4091653027823241,5.0,local,0
8,720575940612648106,2,17,1,ACH,left,347.0,670.0,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,4.899135446685879,8.5,local,0
9,720575940613361010,1,5,1,ACH,left,311.0,572.0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.607717041800643,5.0,projection,445
10,720575940614418794,1,6,1,SER,left,521.0,258.0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1516314779270633,6.0,local,0
11,720575940614660519,2,12,1,DA,right,1625.0,578.0,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.7384615384615384,6.0,local,0
12,720575940614763666,11,185,1,ACH,left,1312.0,874.0,activated,sugar,activated,activated,activated,activated,activated,activated,activated,14.10060975609756,16.818181818181817,local,0
13,720575940614998166,1,13,1,ACH,right,754.0,1077.0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7241379310344827,13.0,local,0
