,root_id,upstream_sugar_2Ns,sugar_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_sugar_input,avg_upstream_synapses,neuron_type,#_projection_synapses
0,720575940604030566,2,24,1,ACH,right,76.0,271.0,0,2,0,24,-24,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,31.57894736842105,12.0,local,0
1,720575940605282406,1,17,1,ACH,right,286.0,138.0,0,1,0,17,-17,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.944055944055944,17.0,local,0
2,720575940606421122,1,13,1,GABA,right,1077.0,1276.0,1,0,13,0,13,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2070566388115136,13.0,projection,169
3,720575940606567125,3,75,1,ACH,left,123.0,323.0,0,3,0,75,-75,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,60.97560975609756,25.0,local,0
4,720575940606801282,2,36,1,ACH,right,102.0,174.0,0,2,0,36,-36,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,35.294117647058826,18.0,local,0
5,720575940607162754,3,347,1,GABA,right,3356.0,3016.0,0,3,0,347,-347,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.33969010727056,115.66666666666667,local,0
6,720575940607188610,1,26,1,GABA,left,986.0,1729.0,0,1,0,26,-26,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.636916835699797,26.0,local,0
7,720575940607272649,4,87,1,ACH,right,3643.0,3699.0,3,1,59,28,31,activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.3881416415042547,21.75,local,0
8,720575940607347634,1,32,1,ACH,left,56.0,89.0,0,1,0,32,-32,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,57.14285714285714,32.0,local,0
9,720575940607362482,2,23,1,ACH,right,1072.0,922.0,2,0,23,0,23,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.1455223880597014,11.5,local,0
10,720575940607386290,4,102,1,ACH,left,917.0,849.0,3,0,92,0,92,activated,sugar,activated,activated,activated,activated,activated,activated,activated,11.123227917121046,25.5,local,0
11,720575940607386802,1,20,1,OCT,right,1130.0,511.0,0,1,0,20,-20,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7699115044247788,20.0,projection,260
12,720575940607451081,6,271,1,GABA,left,1849.0,474.0,5,1,261,10,251,activated,sugar,activated,activated,activated,activated,activated,activated,activated,14.656571119524067,45.166666666666664,local,0
13,720575940607725321,1,17,1,ACH,left,5165.0,2469.0,0,1,0,17,-17,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.3291384317521781,17.0,projection,1181
14,720575940607737099,4,54,1,ACH,left,74.0,54.0,0,4,0,54,-54,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,72.97297297297297,13.5,local,0
15,720575940607904523,1,15,1,ACH,right,723.0,512.0,1,0,15,0,15,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.0746887966804977,15.0,local,0
16,720575940608188427,1,16,1,ACH,left,8004.0,357.0,0,1,0,16,-16,non activated,sugar,non activated,non activated,activated,activated,activated,activated,non activated,0.19990004997501248,16.0,local,0
17,720575940608239371,2,35,1,ACH,left,275.0,212.0,0,2,0,35,-35,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.727272727272727,17.5,local,0
