,root_id,upstream_water_GRNs,water_syn_count,const,nt_type,side,input_synapses,output_synapses,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses,neuron_type,#_projection_synapses
0,720575940605162924,4,25,1,ACH,right,584.0,298.0,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,4.280821917808219,6.25,projection,5
1,720575940607253170,1,7,1,GABA,right,746.0,654.0,non activated,water,non activated,non activated,non activated,non activated,activated,activated,activated,0.938337801608579,7.0,projection,44
2,720575940611015122,3,24,1,ACH,right,918.0,267.0,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,2.6143790849673203,8.0,local,0
3,720575940611149922,1,6,1,GLUT,left,2884.0,1079.0,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.20804438280166435,6.0,local,0
4,720575940611549902,1,5,1,GABA,left,1068.0,1451.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,0.46816479400749067,5.0,local,0
5,720575940611849826,1,6,1,,right,772.0,735.0,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7772020725388601,6.0,local,0
6,720575940612648106,12,147,1,ACH,left,347.0,670.0,activated,water,activated,activated,activated,activated,activated,activated,activated,42.363112391930834,12.25,local,0
7,720575940614128691,2,14,1,ACH,left,1168.0,556.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,1.1986301369863013,7.0,projection,10
8,720575940614763666,4,36,1,ACH,left,1312.0,874.0,non activated,water,non activated,non activated,non activated,non activated,activated,non activated,non activated,2.7439024390243905,9.0,local,0
9,720575940616103218,16,270,1,GABA,left,601.0,874.0,activated,water,activated,activated,activated,activated,activated,activated,activated,44.92512479201331,16.875,local,0
10,720575940617494877,1,6,1,ACH,right,1561.0,1208.0,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,0.38436899423446513,6.0,local,0
11,720575940617593233,5,41,1,ACH,left,732.0,454.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,5.601092896174864,8.2,local,0
12,720575940618696989,6,46,1,GABA,left,238.0,648.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,19.327731092436977,7.666666666666667,local,0
13,720575940619588568,6,52,1,GABA,left,242.0,739.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,21.487603305785125,8.666666666666666,local,0
14,720575940619973712,7,49,1,GABA,left,1479.0,1699.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,3.313049357674104,7.0,local,0
15,720575940620445062,7,70,1,ACH,left,1072.0,2761.0,activated,water,activated,activated,activated,activated,activated,activated,activated,6.529850746268656,10.0,projection,2394
16,720575940620874757,6,49,1,ACH,left,993.0,530.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,4.934541792547835,8.166666666666666,local,0
17,720575940621329328,3,20,1,ACH,left,942.0,621.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,2.1231422505307855,6.666666666666667,local,0
18,720575940621771041,2,10,1,GABA,left,1331.0,2086.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,0.7513148009015778,5.0,local,0
19,720575940622695448,1,5,1,GABA,right,1070.0,1814.0,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,0.46728971962616817,5.0,local,0
