,root_id,upstream_water_2Ns,water_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses
0,720575940602815200,1,13,1,ACH,left,72.0,120.0,1,0,13,0,13,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,18.055555555555554,13.0
1,720575940604030566,2,24,1,ACH,right,76.0,271.0,0,2,0,24,-24,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,31.57894736842105,12.0
2,720575940604470240,1,13,1,GABA,right,5650.0,5986.0,1,0,13,0,13,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.2300884955752212,13.0
3,720575940604590048,1,10,1,ACH,right,29.0,212.0,0,1,0,10,-10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,34.48275862068966,10.0
4,720575940604908972,1,10,1,DA,left,142.0,67.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.042253521126761,10.0
5,720575940606182758,1,32,1,GLUT,left,343.0,369.0,1,0,32,0,32,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,9.329446064139942,32.0
6,720575940606205897,1,11,1,,right,27.0,148.0,0,1,0,11,-11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,40.74074074074074,11.0
7,720575940606947970,1,26,1,DA,left,100.0,61.0,1,0,26,0,26,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,26.0,26.0
8,720575940607162754,4,364,1,GABA,right,3356.0,3016.0,0,4,0,364,-364,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,10.846245530393325,91.0
9,720575940607170178,1,12,1,,right,941.0,1193.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2752391073326248,12.0
10,720575940607272649,1,10,1,ACH,right,3643.0,3699.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,activated,activated,activated,0.2744990392533626,10.0
11,720575940607347634,1,32,1,ACH,left,56.0,89.0,0,1,0,32,-32,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,57.14285714285714,32.0
12,720575940607386290,2,36,1,ACH,left,917.0,849.0,2,0,36,0,36,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,3.925845147219193,18.0
13,720575940607386802,1,20,1,OCT,right,1130.0,511.0,0,1,0,20,-20,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7699115044247788,20.0
14,720575940607451081,1,28,1,GABA,left,1849.0,474.0,1,0,28,0,28,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,1.5143320713899404,28.0
15,720575940608239371,2,35,1,ACH,left,275.0,212.0,0,2,0,35,-35,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.727272727272727,17.5
16,720575940608537027,1,27,1,DA,left,123.0,79.0,1,0,27,0,27,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,21.951219512195124,27.0
17,720575940609423299,3,74,1,GLUT,left,1872.0,2961.0,1,2,15,59,-44,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.9529914529914527,24.666666666666668
18,720575940609993284,1,11,1,ACH,left,1547.0,634.0,0,1,0,11,-11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7110536522301228,11.0
19,720575940610001220,1,33,1,ACH,left,2632.0,1340.0,1,0,33,0,33,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,1.2537993920972645,33.0
20,720575940610173048,1,24,1,ACH,right,1066.0,164.0,0,1,0,24,-24,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.25140712945591,24.0
21,720575940610469422,1,12,1,GLUT,left,77.0,47.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,15.584415584415584,12.0
22,720575940610677828,1,10,1,GABA,left,1600.0,1727.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,0.625,10.0
23,720575940610690372,1,17,1,GLUT,left,2294.0,1575.0,1,0,17,0,17,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7410636442894507,17.0
24,720575940610773090,1,10,1,SER,right,77.0,83.0,0,1,0,10,-10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.987012987012985,10.0
25,720575940610983321,1,10,1,GLUT,left,58.0,38.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,17.24137931034483,10.0
26,720575940611151406,1,55,1,ACH,left,766.0,1380.0,1,0,55,0,55,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.180156657963447,55.0
27,720575940611167842,2,95,1,GABA,left,4386.0,2137.0,0,2,0,95,-95,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.165982672138623,47.5
28,720575940611432305,1,14,1,GLUT,left,736.0,269.0,1,0,14,0,14,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9021739130434785,14.0
29,720575940611442296,1,26,1,ACH,left,1142.0,1278.0,1,0,26,0,26,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.276707530647986,26.0
30,720575940611767189,1,12,1,GLUT,left,473.0,540.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.536997885835095,12.0
31,720575940611858906,2,128,1,ACH,left,1233.0,764.0,2,0,128,0,128,activated,water,activated,activated,activated,activated,activated,activated,activated,10.381184103811842,64.0
32,720575940612036837,1,39,1,GLUT,left,3731.0,398.0,1,0,39,0,39,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,1.0452961672473868,39.0
33,720575940612064113,1,11,1,GABA,left,249.0,324.0,1,0,11,0,11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.417670682730924,11.0
